   0.0 TEL | Telepresence 0.97 launched at Fri Mar 29 02:37:53 2019
   0.0 TEL |   /usr/local/bin/telepresence
   0.0 TEL | Platform: darwin
   0.0 TEL | Python 3.7.3 (default, Mar 27 2019, 09:23:32)
   0.0 TEL | [Clang 9.0.0 (clang-900.0.39.2)]
   0.0 TEL | [1] Running: uname -a
   0.0   1 | Darwin benilde.local 16.7.0 Darwin Kernel Version 16.7.0: Tue Jan 30 11:27:06 PST 2018; root:xnu-3789.73.11~1/RELEASE_X86_64 x86_64
   0.0 TEL | BEGIN SPAN main.py:40(main)
   0.0 TEL | BEGIN SPAN startup.py:74(__init__)
   0.0 TEL | Found kubectl -> /usr/local/bin/kubectl
   0.0 TEL | [2] Capturing: kubectl version --short
   0.6 TEL | [3] Capturing: kubectl config current-context
   0.7 TEL | [4] Capturing: kubectl config view -o json
   0.7 TEL | [5] Capturing: kubectl --context kubernetes-eks-poc get ns default
   2.0 TEL | [5] captured in 1.27 secs.
   2.0 TEL | Command: kubectl 1.14.0
   2.0 TEL | Context: kubernetes-eks-poc, namespace: default, version: 1.10.13-eks-g484b8
   2.0 >>> | Warning: kubectl 1.14.0 may not work correctly with cluster version 1.10.13-eks-g484b8 due to the version discrepancy. See https://kubernetes.io/docs/setup/version-skew-policy/ for more information.
   2.0 >>> | 
   2.0 TEL | END SPAN startup.py:74(__init__)    2.0s
   2.0 TEL | Found ssh -> /usr/bin/ssh
   2.0 TEL | [6] Capturing: ssh -V
   2.0 TEL | Found bash -> /bin/bash
   2.0 TEL | Found sshuttle-telepresence -> /usr/local/Cellar/telepresence/0.97/libexec/sshuttle-telepresence
   2.0 TEL | Found pfctl -> /sbin/pfctl
   2.0 TEL | Found sudo -> /usr/bin/sudo
   2.0 TEL | [7] Running: sudo -n echo -n
   2.1 >>> | Starting proxy with method 'vpn-tcp', which has the following limitations: All processes are affected, only one telepresence can run per machine, and you can't use other VPNs. You may need to add cloud hosts and headless services with --also-proxy. For a full list of method limitations see https://telepresence.io/reference/methods.html
   2.1 TEL | Found sshfs -> /usr/local/bin/sshfs
   2.1 TEL | Found umount -> /sbin/umount
   2.1 >>> | Volumes are rooted at $TELEPRESENCE_ROOT. See https://telepresence.io/howto/volumes.html for details.
   2.1 TEL | [8] Capturing: kubectl --context kubernetes-eks-poc --namespace default get pods telepresence-connectivity-check --ignore-not-found
   2.6 TEL | Scout info: {'latest_version': '0.97', 'application': 'telepresence', 'notices': []}
   2.6 TEL | BEGIN SPAN deployment.py:61(create_new_deployment)
